Original_Index,Supplier,Lock_Reason,Extracted,Status,Corrected_Requirement
289,Capuzzo S.r.l.,"Following the IOC (Integrity on site check) audit by IFS on 07/16/2025, the communications between the company and IFS, the preliminary technical review, the certificate is blocked due to the following major non-conformities
  
 § 4.2.1.1
 Regarding the technical specifications of the following products sold B2B, the following was observed:
 Technical specification ""D19"" Organic Apple Power (rev. 17, dated 24-OCT-2023) does not comply with legal requirements, as the recipe includes the use of th","4.8.2, 4.2.1.1",MULTIPLE,
290,AGROTRANSFORMADOS S.A.,"A Major NC was raised during the IFS Integrity On-site Check on July 17, 2025.
 Description of the Major NC:
 Clause 4.10.2:
 “The product changeover protocol is not robust enough. During the on-site integrity check, chickpeas were observed on the conveyor belt while the company was producing cooked beans.
 Dirtiness and mould growth were observed in the cooling room of raw material. High presence of mould in a wooden pallet with an ingredient (flavour) in this cold room.”",4.10.2,OK,
291,Fleischtrocknerei Churwalden AG,"Failed IFS Integrity On-site Check on July 14, 2025, with two KO deviations and one major deviation:
 
 KO deviation – Section 4.12.1 CCP Metal detector
 During a live functional test of the metal detector, rejected products were returned to the good stock without the required re-inspection.
 Major deviation – Section 5.5.1 Finished product weight control
 Missing finished product checks for a specific product, without proof of legal compliance (complaint in connection with EU/Swiss finished pro","5.11.3, 4.12.1, 5.5.1",MULTIPLE,
292,Werk Muster KG,some text,,MISSING,
293,"Horno de San Juan, S.L.","In the IFS Food announced recertification audit performed on 15.07.2025 - 16.07.2025, 1 Major Scoring non-conformity was identified on requirement 4.3.2:
 
 “It was detected that the label of the reference ‘Cocoa sponge cake’ code 98009105, does not indicate the amount of cocoa included in the recipe, contrary to what is indicated in article 22 of the European Regulation 1169/2011 on consumer information.”",4.3.2,OK,
294,HORTA SALNES S.L,"During the audit completed on site on 15-16/07/2025 the following Major NCs and KO were identified:
 5.5.1 Major NC
 During plant tour on 15 July 2025, it was found that the batch of peppers MST/21504 packaged in 400g. bags corresponding to delivery note AV5/0001233 of the same date and destined for retailer,Lxxx, had not been subjected to a statistical weight control in accordance with current legislation (Royal Decree 1801/2008, of 3 November, which establishes rules on nominal quantities for ",5.5.1,OK,
296,TITOK PRODUCTION SAS,General site closure,,MISSING,
297,"CEREZAS Y ALMENDRAS EL CASTILLO, S.L.","During the recertification audit, the following major nonconformities have been detected:
 
 4.13.4: The pest company reports show bait consumption in the different devices and months without showing any actions beyond bait change.
 
 5.4.1.: The metrological verification certificate (RD 244/2016) where the weighing control of Giropes BR 16 frozen cherry boxes is performed is not available.
 
 5.5.1.: Weight control of frozen cherry boxes is not available. For fresh cherry boxes the number of sa","4.13.4, 5.4.1, 5.5.1",MULTIPLE,
298,Ostsee Fisch GmbH & Co. Produktions- und Vertriebs KG,"5.1.1 KO Non-compliance:
 In the last IFS audit on 10 July 2024, as well as in the current audit, a number of deviations were identified. Some of the deviations identified in the current audit relate to the same non-conformities as in the last IFS audit and are classified as systemic.
 On 3 December 2024, an internal audit was conducted on all requirements of the IFS standard and all points were rated A, so no action plan was drawn up. Due to the fact that none of the existing deviations were id",5.1.1,OK,
299,MANIPULADOS NICOLA S.L.,"On 15-July-2025 an Integrity On-site check was carried out. 5 non-conformities were identified against the following IFS-Food v8 requirements.
 2.3.9.1 KO The monitoring of the CPP is not respected. In case that the supplier is notcertified by a GFSI standard is required a review of the pesticides croptreatments. The supplier M.A.L had not GFSI certified and it is not available thereview of the crop treatments. Neither was available pesticide test for thissupplier.
 3.2.2. KO During production b","3.2.2, 5.3.1, 4.9.9.1, 4.12.2",MULTIPLE,
300,Chimay Fromages SC,"D-4.18.1-KO
 The company follows the traceability of the primary packaging implemented at the packaging by pasting labels comprising the batch numbers of the packages onto the tracking record of the packaging. It is planned that these labels will be made available to the staff in charge of the packaging when a new packaging batch is made available in stock.
 
 KO Non-compliance 
 
 During the packing step on 08/07/25 of the reference Poteaupré cheese, the labels containing the batch numbers of s",4.18.1,OK,
301,"GRACOMSA ALIMENTARIA, S.A.","uring the re-certification audit, a major non-conformity is detected in requirement 4.9.4.1:
 
 The roof of the P1-P2 building over line P2 (specifically over the product recovery basin of this line) is not in a good state of maintenance. There are detachable parts (traces of paint) and rusted and stained parts. It is in a very deteriorated condition. The recovery basin has a cover and every time it is manually unloaded, the floodgate is opened and closed. However, it cannot be guaranteed that s",4.9.4.1,OK,
302,FOODISSIMO S.A.,The client has informed us that they will not continue with the IFS certification,,MISSING,
303,OLIVAIDA S.L.,"•KO rating for requirement 2.3.9.1:
 During the audit it is evident that the CCPs (sealing and pasteurisation) are not under control. During the visit to the plant on 15-07-2025 it was observed that in the production of 5 kg cans of olives:
 - SEALING: 
 * Pressure gauge/manual pump pressure is less than 1 bar (CCL:1 bar, 10 seconds).
 * There is no evidence of justification for the monitoring system in place. Destructive examination of the container (closure disassembly examination) has not bee","4.3.4, 4.3.2, 4.14.2, 4.17.2",MULTIPLE,
304,Maxima Seafood B.V.,NC 4.8.3 Ice is made by the company. The output of the ice making equipment is stored in an area/bunker. There is an opening in the bunker at about 1 meter high where underneath a tub is situated which catches the ice. The bunker is not well designed: ice on the edges of the bunker does not fall automatically in the tub. Seen employee in the bunker with dirty boots scraping the ice from the edges of the bunker to the opening. There is a risk of microbiological contamination of the ice. The ice i,4.8.3,OK,
305,Q-FOOD NV,"During the extra ordinary visit on 24/07/2025, the following was noted:
 * Frozen boneless ovine leg",,MISSING,
306,Delizia 2000 S.r.l.,"During the audit completed on site on 17-18/07/2025 the following KO were identified:
 
 2.3.9.1 KO In document Cap. 16 Identification CCP oPRP rev. 01 dated 2019-08-01 it was defined as monitoring of the pasteurisation heat treatment CCP the verification of the F71 factor with critical limit F71>100; during the audit data logger recordings were viewed with a value lower than the defined critical limit but no action appears to have been taken (Data logger dated 2025-07-05 ‘Lampascioni’ in sunflo","4.4.2, 4.4.1, 4.9.3.1, 4.12.9, 5.11.3",MULTIPLE,
307,INITIA FOOD SAS,"A new ERP software is currently being deployed, along with a change in management and an internal structural reorganization.",,MISSING,
308,Ortofrutta Caligari Srl,"A KO was raised during the audit on July 16, 2025.
 Description of the KO:
 Clause 4.18.1: “For the production of a product packaged in a tray, identified semi-finished products are used and placed in the drying cell; the semi-finished products are identified with sheets indicating the batch of entry. The semi-finished products to be used for the production of packaged products are recorded in the planning phase on the day before processing in the Mod01 ""outgoing goods register"", based on the st",4.18.1,OK,
309,"BOREAL ARTIK, S.L. S.L.","During the recertification audit, the following major nonconformities/KOs were detected:
 
 KO 4.18.1:
 During the audit, it was found that the traceability system implemented in the company, through ERP and documentary tools, does not allow to efficiently guarantee the relationship between raw materials, batches, intermediate products and final products sent to customers. In the traceability exercises carried out during the audit, the following incidents were observed:
 - Discrepancies were ide","4.18.1, 5.10.1, 2.3.11.1, 4.10.2, 4.3.2",MULTIPLE,
310,Pitteloud Fruits S.L.,"A Major non-conformity was raised during the audit on July 10-11, 2025. 
 Description of the Major NC:
 Clause 5.5.1:
 “Although the number of weight controls were adequate to the batch size, the statistical treatment of the data was not in accordance with the regulation ""RD 1801/2008"" when (e) was labeled. The maximum tolerated error of defect for each package, the standard deviation, acceptance and rejection criteria (TU1-TU2) were not defined for each weight control.""",5.5.1,OK,
312,"Overseas Food Distribution, LLC.","Following the follow-up audit carried out by the accreditation body (ENAC), after the office audit on 24-25 and 26 March, where it was detected in the file Overseas Food Distribution, LLC. - COID 85558 that the deviation raised to requirement 3.4.2. does not conclude that the non-compliance identified (Consumption of food and beverages within the plant) implies a KO to requirement 3.2.2. which implies non-certification.
 
 On 14.05.2025 an allegation against this deviation was presented to ENAC,","3.2.2, 3.4.2",MULTIPLE,
